timestamp,bucket,file_path,category_id,category_display,subtype_id,subtype_display,verdict
2026-08-06T19:11:35,tower_consensus_disagreements,J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10264.767.jpg,handwritten_ledger,Handwritten Ledger,,,classified
2026-08-06T19:12:56,tower_consensus_disagreements,J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10414.126.jpg,,,,,needs_bucket
2026-08-06T19:13:24,tower_consensus_disagreements,J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c7299.1060.jpg,,,,,needs_bucket
2026-08-06T19:13:50,tower_consensus_disagreements,J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c7319.121.jpg,printed_document,Printed Document,government_form,Government Form,classified
2026-08-06T19:13:57,tower_consensus_disagreements,J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c7319.122.jpg,printed_document,Printed Document,government_form,Government Form,classified
2026-08-06T19:14:03,tower_consensus_disagreements,J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_t2185.796.jpg,handwritten_ledger,Handwritten Ledger,,,classified
2026-08-06T19:14:06,tower_consensus_disagreements,J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_t2185.797.jpg,handwritten_ledger,Handwritten Ledger,,,classified
2026-08-06T19:15:04,tower_consensus_disagreements,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 233029.png,website_screenshot,Website Screenshot,genealogy_site,Genealogy Site,classified
2026-08-06T19:15:10,tower_consensus_disagreements,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 233419.png,website_screenshot,Website Screenshot,genealogy_site,Genealogy Site,classified
2026-08-06T19:16:12,tower_consensus_disagreements,J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10414.129.jpg,casual_photo,Casual Photo,,,classified
2026-08-06T19:16:28,tower_consensus_disagreements,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 212920.png,map_land_record,Map / Land Record,cadastral_map,Cadastral Map,classified
2026-08-06T19:16:32,tower_consensus_disagreements,J:\Genealogy\genealogy_pipeline\data\working\R21W-044.jpg,map_land_record,Map / Land Record,dls_township_map,DLS Township Map,classified
2026-08-06T19:16:37,tower_consensus_disagreements,J:\Genealogy\genealogy_pipeline\data\working\R21W-046.jpg,map_land_record,Map / Land Record,dls_township_map,DLS Township Map,classified
2026-08-06T19:16:41,tower_consensus_disagreements,J:\Genealogy\genealogy_pipeline\data\working\R21W-048.jpg,map_land_record,Map / Land Record,dls_township_map,DLS Township Map,classified
2026-08-06T19:16:44,tower_consensus_disagreements,J:\Genealogy\genealogy_pipeline\data\working\R21W-051.jpg,map_land_record,Map / Land Record,dls_township_map,DLS Township Map,classified
2026-08-06T19:16:47,tower_consensus_disagreements,J:\Genealogy\genealogy_pipeline\data\working\R21W-052.jpg,map_land_record,Map / Land Record,dls_township_map,DLS Township Map,classified
2026-08-06T19:16:50,tower_consensus_disagreements,J:\Genealogy\genealogy_pipeline\data\working\R22W-055.jpg,map_land_record,Map / Land Record,dls_township_map,DLS Township Map,classified
2026-08-06T19:16:53,tower_consensus_disagreements,J:\Genealogy\genealogy_pipeline\data\working\R22W-057.jpg,map_land_record,Map / Land Record,dls_township_map,DLS Township Map,classified
2026-08-06T19:16:56,tower_consensus_disagreements,J:\Genealogy\genealogy_pipeline\data\working\R22W-060.jpg,map_land_record,Map / Land Record,dls_township_map,DLS Township Map,classified
2026-08-06T19:17:04,tower_consensus_disagreements,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-06 215955.png,genealogy_chart,Genealogy Chart,,,classified
2026-08-06T19:17:26,tower_consensus_disagreements,J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10301.601.jpg,casual_photo,Casual Photo,,,classified
